episode,timestep,reward
2,1800,-50.2035
4,3600,-104.75
6,5400,-27.6712
8,7200,8.5535
10,9000,75.6408
12,10800,-58.297
14,12600,107.9981
16,14400,-51.9332
18,16200,-3.1885
20,18000,172.0323
22,19800,227.1411
24,21600,167.9712
26,23400,183.1806
28,25200,193.2881
30,27000,339.7489
32,28800,433.403
34,30600,467.9642
36,32400,422.9246
38,34200,359.5568
40,36000,414.3185
42,37800,488.5598
44,39600,409.4953
46,41400,402.1034
48,43200,406.4608
50,45000,437.2047
52,46800,378.4715
54,48600,366.0235
56,50400,465.2672
58,52200,500.9341
60,54000,295.1666
62,55800,502.0555
64,57600,485.0069
66,59400,482.6351
68,61200,502.8773
70,63000,497.0619
72,64800,484.8181
74,66600,427.2662
76,68400,525.2409
78,70200,474.6228
80,72000,519.3986
82,73800,498.3065
84,75600,515.7473
86,77400,473.333
88,79200,502.1914
90,81000,521.7035
92,82800,507.7886
94,84600,506.2507
96,86400,522.5055
98,88200,511.4338
100,90000,514.2995
102,91800,523.2307
104,93600,531.0001
106,95400,506.3518
108,97200,522.7099
110,99000,525.3264
112,100800,511.6118
114,102600,499.5583
116,104400,510.8839
118,106200,521.4552
120,108000,507.0527
122,109800,490.4128
124,111600,513.8353
126,113400,516.2572
128,115200,466.6551
130,117000,521.9097
132,118800,506.0667
134,120600,534.2482
136,122400,536.3319
138,124200,512.6668
140,126000,505.7688
142,127800,512.1666
144,129600,501.7136
146,131400,506.5886
148,133200,516.592
150,135000,497.7617
152,136800,497.3982
154,138600,526.7946
156,140400,540.9696
158,142200,520.9675
160,144000,525.0995
162,145800,518.353
164,147600,535.3094
166,149400,513.686
168,151200,529.1768
170,153000,524.3515
172,154800,520.7427
174,156600,534.6016
176,158400,535.8237
178,160200,523.0445
180,162000,538.9974
182,163800,536.8084
184,165600,526.504
186,167400,519.3071
188,169200,553.2772
190,171000,532.0293
192,172800,542.9234
194,174600,530.2973
196,176400,539.3481
198,178200,527.6831
200,180000,552.6839
202,181800,543.2528
204,183600,543.0683
206,185400,542.4725
208,187200,544.5035
210,189000,535.5221
212,190800,519.1644
214,192600,539.755
216,194400,522.888
218,196200,545.0611
220,198000,553.4161
222,199800,544.6559
224,201600,536.2733
226,203400,547.4265
228,205200,527.8675
230,207000,521.4874
232,208800,529.5599
234,210600,543.7612
236,212400,526.3816
238,214200,537.2591
240,216000,542.7126
242,217800,550.2016
244,219600,534.1762
246,221400,543.0652
248,223200,541.7245
250,225000,530.2164
252,226800,554.3227
254,228600,550.3525
256,230400,528.4684
258,232200,549.055
260,234000,531.3122
262,235800,520.7321
264,237600,550.8801
266,239400,531.9357
268,241200,521.819
270,243000,545.9063
272,244800,531.7031
274,246600,551.3592
276,248400,526.1736
278,250200,516.192
280,252000,555.5542
282,253800,553.5795
284,255600,547.5713
286,257400,559.9743
288,259200,550.0612
290,261000,560.9317
292,262800,547.1474
294,264600,571.1547
296,266400,568.6726
298,268200,574.5703
300,270000,575.1859
302,271800,570.0363
304,273600,565.2257
306,275400,559.053
308,277200,549.4652
310,279000,559.2116
312,280800,565.6335
314,282600,568.6282
316,284400,559.7444
318,286200,564.6392
320,288000,572.5869
322,289800,553.6394
324,291600,560.0265
326,293400,562.874
